FAIL	./app/scripts/main.js (51)
./app/scripts/modules/core/elements/Archer.js:35:7	Expected 'isInTheAir' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:36:7	Expected 'isFalling' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:37:7	Expected 'isJumping' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:38:7	Expected 'isDrawing' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:39:5	Expected '}' at column 17, not column 5.
./app/scripts/modules/core/elements/Archer.js:40:5	Expected 'params' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:41:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:43:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:45:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:47:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:48:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:49:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:50:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:51:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:52:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:53:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:54:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:55:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:55:7	Too many errors. (24% scanned).
FAIL	./app/scripts/modules/core/elements/Arrow.js (51)
./app/scripts/modules/core/elements/Arrow.js:2:3	Expected 'use strict' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:4:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:5:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:5:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:6:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:6:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:7:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:7:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:8:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:8:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:9:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:9:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:10:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:10:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:11:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:11:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:17:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:17:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:18:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:20:5	Expected 'var' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:21:7	Expected 'width' at column 21, not column 7.
./app/scripts/modules/core/elements/Arrow.js:22:7	Expected 'height' at column 21, not column 7.
./app/scripts/modules/core/elements/Arrow.js:24:7	Expected 'collected' at column 21, not column 7.
./app/scripts/modules/core/elements/Arrow.js:25:7	Expected 'isPlant' at column 21, not column 7.
./app/scripts/modules/core/elements/Arrow.js:27:7	Expected 'isMortal' at column 21, not column 7.
./app/scripts/modules/core/elements/Arrow.js:28:5	Expected '}' at column 17, not column 5.
./app/scripts/modules/core/elements/Arrow.js:29:5	Expected 'params' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:30:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:32:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:34:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:36:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:38:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:41:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:42:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:43:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:44:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:45:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:46:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:47:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:48:5	Expected ')' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:50:5	Expected 'utils' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:57:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:58:7	Expected 'var' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:59:7	Expected 'launch' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:60:7	Expected 'this' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:61:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:63:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:64:7	Expected 'utils' at column 17, not column 7.
./app/scripts/modules/core/elements/Arrow.js:65:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:68:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:68:5	Too many errors. (90% scanned).
FAIL	./app/scripts/modules/core/elements/Map.js (38)
./app/scripts/modules/core/elements/Map.js:2:3	Expected 'use strict' at column 5, not column 3.
./app/scripts/modules/core/elements/Map.js:4:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Map.js:5:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Map.js:5:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Map.js:6:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Map.js:6:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Map.js:7:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Map.js:7:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Map.js:8:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Map.js:8:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Map.js:14:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Map.js:14:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Map.js:15:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Map.js:16:5	Expected 'if' at column 13, not column 5.
./app/scripts/modules/core/elements/Map.js:17:7	Expected 'this' at column 17, not column 7.
./app/scripts/modules/core/elements/Map.js:18:7	Expected 'this' at column 17, not column 7.
./app/scripts/modules/core/elements/Map.js:19:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/elements/Map.js:21:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Map.js:22:7	Expected 'var' at column 17, not column 7.
./app/scripts/modules/core/elements/Map.js:23:9	Expected 'x' at column 25, not column 9.
./app/scripts/modules/core/elements/Map.js:24:9	Expected 'y' at column 25, not column 9.
./app/scripts/modules/core/elements/Map.js:25:9	Expected 'height' at column 25, not column 9.
./app/scripts/modules/core/elements/Map.js:26:9	Expected 'width' at column 25, not column 9.
./app/scripts/modules/core/elements/Map.js:27:9	Expected 'unitBlockSize' at column 25, not column 9.
./app/scripts/modules/core/elements/Map.js:28:7	Expected '}' at column 21, not column 7.
./app/scripts/modules/core/elements/Map.js:29:7	Expected 'this' at column 17, not column 7.
./app/scripts/modules/core/elements/Map.js:30:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/elements/Map.js:34:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Map.js:35:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Map.js:36:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Map.js:37:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Map.js:38:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Map.js:39:5	Expected ')' at column 13, not column 5.
./app/scripts/modules/core/elements/Map.js:41:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Map.js:42:7	Expected 'utils' at column 17, not column 7.
./app/scripts/modules/core/elements/Map.js:43:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/elements/Map.js:45:3	Expected '}' at column 9, not column 3.
./app/scripts/modules/core/elements/Map.js:47:3	Expected 'return' at column 5, not column 3.
FAIL	./app/scripts/modules/core/field.js (23)
./app/scripts/modules/core/field.js:2:3	Expected 'use strict' at column 5, not column 3.
./app/scripts/modules/core/field.js:10:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/field.js:11:5	Expected 'var' at column 13, not column 5.
./app/scripts/modules/core/field.js:12:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/field.js:13:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/field.js:15:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/field.js:16:7	Expected 'return' at column 17, not column 7.
./app/scripts/modules/core/field.js:17:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/field.js:19:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/field.js:20:7	Expected 'var' at column 17, not column 7.
./app/scripts/modules/core/field.js:21:7	Expected 'if' at column 17, not column 7.
./app/scripts/modules/core/field.js:22:9	Expected 'value' at column 21, not column 9.
./app/scripts/modules/core/field.js:23:9	Expected 'this' at column 21, not column 9.
./app/scripts/modules/core/field.js:24:11	Expected 'old' at column 25, not column 11.
./app/scripts/modules/core/field.js:25:11	Expected 'new' at column 25, not column 11.
./app/scripts/modules/core/field.js:26:9	Expected '}' at column 21, not column 9.
./app/scripts/modules/core/field.js:27:7	Expected '}' at column 17, not column 7.
./app/scripts/modules/core/field.js:28:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/field.js:34:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/field.js:35:7	Expected 'this' at column 17, not column 7.
./app/scripts/modules/core/field.js:36:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/field.js:37:3	Expected '}' at column 9, not column 3.
./app/scripts/modules/core/field.js:38:3	Expected 'return' at column 5, not column 3.
FAIL	./app/scripts/modules/core/game.js (51)
./app/scripts/modules/core/game.js:2:3	Expected 'use strict' at column 5, not column 3.
./app/scripts/modules/core/game.js:4:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/game.js:5:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/game.js:5:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/game.js:6:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/game.js:6:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/game.js:8:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/game.js:8:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/game.js:9:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/game.js:9:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/game.js:10:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/game.js:10:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/game.js:12:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/game.js:12:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/game.js:18:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/game.js:18:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/game.js:19:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/game.js:20:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/game.js:26:5	Expected 'var' at column 13, not column 5.
./app/scripts/modules/core/game.js:26:9	Unexpected dangling '_' in '_addMap'.
./app/scripts/modules/core/game.js:27:7	Expected 'var' at column 21, not column 7.
./app/scripts/modules/core/game.js:28:7	Expected 'utils' at column 21, not column 7.
./app/scripts/modules/core/game.js:29:5	Expected '}' at column 17, not column 5.
./app/scripts/modules/core/game.js:36:5	Expected 'var' at column 13, not column 5.
./app/scripts/modules/core/game.js:36:9	Unexpected dangling '_' in '_addArcher'.
./app/scripts/modules/core/game.js:36:9	Combine this with the previous 'var' statement.
./app/scripts/modules/core/game.js:37:7	Expected 'var' at column 21, not column 7.
./app/scripts/modules/core/game.js:38:9	Expected 'x' at column 29, not column 9.
./app/scripts/modules/core/game.js:39:9	Expected 'y' at column 29, not column 9.
./app/scripts/modules/core/game.js:40:7	Expected '}' at column 25, not column 7.
./app/scripts/modules/core/game.js:41:7	Expected 'utils' at column 21, not column 7.
./app/scripts/modules/core/game.js:43:7	Expected 'this' at column 21, not column 7.
./app/scripts/modules/core/game.js:44:9	Expected 'looser' at column 25, not column 9.
./app/scripts/modules/core/game.js:45:11	Expected 'x' at column 29, not column 11.
./app/scripts/modules/core/game.js:46:11	Expected 'y' at column 29, not column 11.
./app/scripts/modules/core/game.js:47:9	Expected '}' at column 25, not column 9.
./app/scripts/modules/core/game.js:48:9	Expected 'utils' at column 25, not column 9.
./app/scripts/modules/core/game.js:49:7	Expected '}' at column 21, not column 7.
./app/scripts/modules/core/game.js:51:7	Expected 'return' at column 21, not column 7.
./app/scripts/modules/core/game.js:52:5	Expected '}' at column 17, not column 5.
./app/scripts/modules/core/game.js:59:5	Expected 'var' at column 13, not column 5.
./app/scripts/modules/core/game.js:59:9	Unexpected dangling '_' in '_releaseArrow'.
./app/scripts/modules/core/game.js:59:9	Combine this with the previous 'var' statement.
./app/scripts/modules/core/game.js:60:7	Expected 'var' at column 21, not column 7.
./app/scripts/modules/core/game.js:61:9	Expected '(' at column 29, not column 9.
./app/scripts/modules/core/game.js:62:7	Expected 'var' at column 21, not column 7.
